"gene";"ensembl_gene_id";"gene_biotype";"chromosome_name";"start";"end";"g_score";"mutsig";"avg_expr";"sirna"
"ABCA1";"ENSG00000165029";"protein_coding";9;104781002;104928237;NA;-0.028111964;8.595687002;0.979811267
"ABCA10";"ENSG00000154263";"protein_coding";17;69147214;69244846;0.025257;-0.014901884;3.179857937;-0.486587846
"ABCA12";"ENSG00000144452";"protein_coding";2;214931542;215138428;0.009224;-0.889112431;1.374871471;0.276834901
"ABCA13";"ENSG00000179869";"protein_coding";7;48171458;48647496;0.0109715054319865;-1.866343801;0.554686329;0.352927627
"ABCA2";"ENSG00000107331";"protein_coding";9;137007227;137028922;0.025745;-0.001730096;10.89550045;1.000012875
"ABCA3";"ENSG00000167972";"protein_coding";16;2275881;2340746;0.031078;-0.126386237;10.41936134;-0.70682499
"ABCA4";"ENSG00000198691";"protein_coding";1;93992835;94121132;0;-0.043705001;1.889710184;0.153367423
"ABCA5";"ENSG00000154265";"protein_coding";17;69244311;69327244;0.025257;-0.006651875;9.050927859;0.783736831
"ABCA6";"ENSG00000154262";"protein_coding";17;69078702;69141888;0.025257;-0.100738436;4.16623821;0.211120257
"ABCA7";"ENSG00000064687";"protein_coding";19;1040101;1065572;0.006988;-0.111584288;7.941915547;0.320169332
"ABCA8";"ENSG00000141338";"protein_coding";17;68867292;68955392;0.025257;-0.288050274;7.556850681;-0.42717135
"ABCA9";"ENSG00000154258";"protein_coding";17;68974488;69061064;0.025257;-1.644770315;4.317168568;0.12464945
"ABCB1";"ENSG00000085563";"protein_coding";7;87503633;87713323;0.0386945;-1.118441494;7.450390972;-0.131118758
"ABCB10";"ENSG00000135776";"protein_coding";1;229516582;229558695;0.00675;-0.674712547;8.670908221;-1.031635166
"ABCB11";"ENSG00000073734";"protein_coding";2;168922938;169031322;0.0127675;-0.6495231;0.128483913;-0.595518088
"ABCB4";"ENSG00000005471";"protein_coding";7;87401697;87480435;0.0376708101817518;-0.097072402;3.489364019;-1.269301148
"ABCB5";"ENSG00000004846";"protein_coding";7;20615207;20777038;0.0287785;-0.368120914;1.613917005;-0.435885769
"ABCB6";"ENSG00000115657";"protein_coding";2;219209768;219218990;0.019029;-0.155462473;10.0048817;-0.436677989
"ABCB7";"ENSG00000131269";"protein_coding";23;75053172;75156732;NA;-0.091551742;8.546146146;-7.149157557
"ABCB8";"ENSG00000197150";"protein_coding";7;151028422;151047782;0.035234;-0.35931514;9.598126494;0.1035764
"ABCB9";"ENSG00000150967";"protein_coding";12;122920951;122981649;0.0391041112089354;-0.117046869;6.510174705;-0.176711015
"ABCC1";"ENSG00000103222";"protein_coding";16;15949577;16143074;NA;-0.016185075;11.01930378;-0.338363495
"ABCC10";"ENSG00000124574";"protein_coding";6;43427366;43450430;0.015396;-0.11792017;8.697065873;-0.536893812
"ABCC11";"ENSG00000121270";"protein_coding";16;48166910;48247568;0.0521096005063499;-1.277526417;5.276688845;-0.890223906
"ABCC12";"ENSG00000140798";"protein_coding";16;48082973;48156018;0.0578616557076568;-0.114078743;1.104814206;-0.628395215
"ABCC2";"ENSG00000023839";"protein_coding";10;99782732;99852192;0.022717;-0.012897517;2.307890096;-0.124503721
"ABCC3";"ENSG00000108846";"protein_coding";17;50634777;50692252;0.036611;-0.081414632;7.435735804;1.105774238
"ABCC4";"ENSG00000125257";"protein_coding";13;95019829;95301446;0.019184;-0.000137509;13.21169949;-0.150211258
"ABCC5";"ENSG00000114770";"protein_coding";3;183919934;184018015;0.027692;-0.156700946;9.564968507;-0.731779918
"ABCC6";"ENSG00000091262";"protein_coding";16;16148928;16223522;NA;-0.841437002;5.142059898;-0.061878735
"ABCC8";"ENSG00000006071";"protein_coding";11;17392885;17476845;0.011312;-0.030265206;5.593807536;0.04281313
"ABCC9";"ENSG00000069431";"protein_coding";12;21797401;21942529;0.0172538574149314;-0.045611257;7.559025355;-0.2785905
"ABCD1";"ENSG00000101986";"protein_coding";23;153724868;153744762;0.009105;0;8.559394835;-0.69969501
"ABCD2";"ENSG00000173208";"protein_coding";12;39550033;39619751;0.009129;-1e-07;2.78709153;-1.095012761
"ABCD3";"ENSG00000117528";"protein_coding";1;94418455;94518666;0;-0.474104346;9.965587596;0.164894224
"ABCD4";"ENSG00000119688";"protein_coding";14;74285423;74303056;0.005823;0;9.142777655;0.867712145
"ABCE1";"ENSG00000164163";"protein_coding";4;145097932;145129179;0.018634;-0.442146624;10.23473208;-0.495302265
"ABCF1";"ENSG00000204574";"protein_coding";6;30571376;30597179;0.0137920018000072;-0.069839587;10.73295391;0.815425629
"ABCF2";"ENSG00000033050";"protein_coding";7;151207837;151227230;0.032058;0;10.11850793;-0.272926127
"ABCF3";"ENSG00000161204";"protein_coding";3;184186023;184194012;0.027692;-0.066683861;10.42642661;0.595980705
"ABCG1";"ENSG00000160179";"protein_coding";21;42199689;42297244;0.020625354973003;-0.777405696;9.490383717;0.52151203
"ABCG2";"ENSG00000118777";"protein_coding";4;88090264;88231322;0.022813;-0.712662165;7.502638207;-0.199804227
"ABCG4";"ENSG00000172350";"protein_coding";11;119149012;119162653;0.016586;-2.48e-05;1.199596156;-0.917555494
"ABCG5";"ENSG00000138075";"protein_coding";2;43812472;43838865;0.007312;0;0.395800229;-1.210280763
"ABCG8";"ENSG00000143921";"protein_coding";2;43838964;43878466;0.00838062915019595;0;NA;0.149564768
"ABHD1";"ENSG00000143994";"protein_coding";2;27123789;27130812;0.01367;-0.554924683;5.323817058;-0.902503315
"ABHD10";"ENSG00000144827";"protein_coding";3;111979010;111993363;0.017961;-0.120363838;10.16069852;0.392142514
"ABHD11";"ENSG00000106077";"protein_coding";7;73736094;73738867;0.033269;-0.504443864;10.50432982;-0.148507986
"ABHD12";"ENSG00000100997";"protein_coding";20;25294743;25390983;0.009973;0;11.19354535;-1.52360375
"ABHD12B";"ENSG00000131969";"protein_coding";14;50872160;50904970;0.00942566683595734;0;-0.294979733;-0.415288051
"ABHD13";"ENSG00000139826";"protein_coding";13;108218379;108234255;0.014294;0;8.725652899;-0.29130563
"ABHD14A";"ENSG00000248487";"protein_coding";3;51971426;51981199;0.003363;-1.762258727;8.991879828;0.200227233
"ABHD14A-ACY1";"ENSG00000114786";"protein_coding";3;51974706;51989183;0.003363;NA;NA;1.437714393
"ABHD14B";"ENSG00000114779";"protein_coding";3;51968510;51983409;0.003363;0;11.19559413;0.627273393
"ABHD15";"ENSG00000168792";"protein_coding";17;29560547;29567137;0.003256;0;7.737036717;0.565084127
"ABHD16A";"ENSG00000204427";"protein_coding";6;31686949;31703444;NA;NA;NA;0.042535853
"ABHD16B";"ENSG00000183260";"protein_coding";20;63861498;63862988;NA;NA;NA;-0.116343856
"ABHD17A";"ENSG00000129968";"protein_coding";19;1876810;1885547;0.00433;NA;NA;0.115618143
"ABHD17B";"ENSG00000107362";"protein_coding";9;71862452;71910931;0.005752;NA;NA;0.716794246
"ABHD17C";"ENSG00000136379";"protein_coding";15;80679684;80755621;0.006647;NA;NA;NA
"ABHD18";"ENSG00000164074";"protein_coding";4;127965306;128039711;0.019367;NA;NA;NA
"ABHD2";"ENSG00000140526";"protein_coding";15;89087459;89202360;0.01939;-0.384566905;13.42972104;0.433971727
"ABHD3";"ENSG00000158201";"protein_coding";18;21650897;21704805;0.001684;0;8.502206358;-0.456879598
"ABHD4";"ENSG00000100439";"protein_coding";14;22598237;22613215;NA;0;9.757261923;-0.285958145
"ABHD5";"ENSG00000011198";"protein_coding";3;43690113;43734371;0.007908;0;8.87016521;0.122748123
"ABHD6";"ENSG00000163686";"protein_coding";3;58237506;58295693;0.00663;-2.828960829;7.317100692;0.498933762
"ABHD8";"ENSG00000127220";"protein_coding";19;17292131;17310236;0.008071;-2.779273737;8.293109632;1.535949666
"ABI1";"ENSG00000136754";"protein_coding";10;26746593;26861087;0.012448;-6.14e-05;10.15262201;0.009159627
"ABI2";"ENSG00000138443";"protein_coding";2;203328219;203447723;0.0148124161889279;-0.433343731;10.50369199;-0.70682499
"ABI3";"ENSG00000108798";"protein_coding";17;49210227;49223225;0.031758;0;6.976934867;-0.343631757
"ABI3BP";"ENSG00000154175";"protein_coding";3;100749156;100993515;0.013839;-0.093836287;7.349188287;0.156100582
"ABL1";"ENSG00000097007";"protein_coding";9;130713946;130887675;0.052134817984;-1.465292548;11.36731564;-1.157994246
"ABL2";"ENSG00000143322";"protein_coding";1;179099327;179229684;0.010536;0;9.266489432;1.412363355
"ABLIM1";"ENSG00000099204";"protein_coding";10;114431113;114685003;0.023109;-0.615478612;10.16565975;-0.17330447
"ABLIM2";"ENSG00000163995";"protein_coding";4;7965310;8158832;0.0209431286481806;0;5.501707807;0.634799482
"ABLIM3";"ENSG00000173210";"protein_coding";5;149141483;149260542;0.024899;0;8.409787427;0.708872047
"ABO";"ENSG00000175164";"protein_coding";9;133250401;133275214;0.020229;0;3.597918742;-0.904087755
"ABR";"ENSG00000159842";"protein_coding";17;1003518;1229021;0.0101925714285714;-0.538202473;10.78561674;1.122014746
"ABRA";"ENSG00000174429";"protein_coding";8;106759483;106770245;0.076728;-0.13843356;1.63360144;0.040555304
"ABRACL";"ENSG00000146386";"protein_coding";6;139028682;139043302;0.008294;NA;NA;NA
"ABRAXAS1";"ENSG00000163322";"protein_coding";4;83459517;83523348;0.024349;NA;NA;NA
"ABRAXAS2";"ENSG00000165660";"protein_coding";10;124801785;124836670;0.00584;NA;NA;NA
"ABT1";"ENSG00000146109";"protein_coding";6;26596952;26600744;0.009909;0;9.190729244;-0.059422853
"ABTB1";"ENSG00000114626";"protein_coding";3;127672935;127680920;0.069254;-0.48587337;9.19087646;0.22949976
"ABTB2";"ENSG00000166016";"protein_coding";11;34150988;34358008;0.0116975683027847;-0.418840967;7.505835839;0.847510536
"ACAA1";"ENSG00000060971";"protein_coding";3;38103129;38137242;0.002758;-1.583765292;11.36146788;0.02559423
"ACAA2";"ENSG00000167315";"protein_coding";18;49782167;49813960;0.003557;-0.013662813;8.820563622;1.542683535
"ACACA";"ENSG00000278540";"protein_coding";17;37084988;37406818;0.00959459484777518;-0.294556715;12.42771598;0.237897291
"ACACB";"ENSG00000076555";"protein_coding";12;109116595;109268226;0.038973;-0.034112884;8.625199859;0.683917118
"ACAD10";"ENSG00000111271";"protein_coding";12;111686056;111757107;0.030794;-0.373313166;9.369082624;0.817802289
"ACAD11";"ENSG00000240303";"protein_coding";3;132558138;132660723;0.050916;0;8.74001715;1.146177455
"ACAD8";"ENSG00000151498";"protein_coding";11;134253495;134265855;NA;0;10.6580786;-0.540062692
"ACAD9";"ENSG00000177646";"protein_coding";3;128879596;128916067;0.078679;0;9.971857859;0.718378686
"ACADL";"ENSG00000115361";"protein_coding";2;210187939;210225491;0.019071;0;8.488472347;-1.194040254
"ACADM";"ENSG00000117054";"protein_coding";1;75724347;75787575;0;0;9.78940036;-0.786443094
"ACADS";"ENSG00000122971";"protein_coding";12;120725735;120740008;0.03837;-0.077386139;8.671679533;-0.327113971
"ACADSB";"ENSG00000196177";"protein_coding";10;123008979;123058311;0.001341;-2.631832075;11.02233421;-0.374647168
"ACADVL";"ENSG00000072778";"protein_coding";17;7217125;7225273;0.000697;-0.558061546;12.45716635;0.211555978
"ACAN";"ENSG00000157766";"protein_coding";15;88803443;88875354;0.01939;-1.30832346;4.293381121;-0.869230078
"ACAP1";"ENSG00000072818";"protein_coding";17;7336529;7351478;0.000697;-0.179502933;5.97595855;-0.267182533
"ACAP2";"ENSG00000114331";"protein_coding";3;195274736;195443078;0.02859;-0.073277179;9.683045267;-0.35725794
"ACAP3";"ENSG00000131584";"protein_coding";1;1292376;1309609;NA;0;9.161550169;0.275527738
"ACAT1";"ENSG00000075239";"protein_coding";11;108121516;108147776;0.021459;-0.001282622;10.4084506;-2.123710356
"ACAT2";"ENSG00000120437";"protein_coding";6;159760328;159779055;0;-0.479415623;9.81036085;-0.327787358
"ACBD3";"ENSG00000182827";"protein_coding";1;226144679;226186730;0.008753;-0.507205518;10.47099793;-0.075742584
"ACBD4";"ENSG00000181513";"protein_coding";17;45132600;45144181;0.017092;0;8.544777552;1.036851103
"ACBD5";"ENSG00000107897";"protein_coding";10;27195214;27242130;0.012448;-5.71e-05;9.824299298;-0.183563718
"ACBD6";"ENSG00000230124";"protein_coding";1;180269653;180502954;0.012732;0;8.737154688;-0.523822183
"ACBD7";"ENSG00000176244";"protein_coding";10;15077523;15088776;0.006201;-1.172153775;5.012740672;-2.120145366
"ACCS";"ENSG00000110455";"protein_coding";11;44065925;44084222;0.002146;-0.511998144;8.381424498;-0.276887227
"ACCSL";"ENSG00000205126";"protein_coding";11;44047981;44059977;0.002146;-0.227105013;NA;-0.264092875
"ACD";"ENSG00000102977";"protein_coding";16;67657512;67660815;0.006209;0;8.544205377;-0.483022856
"ACE";"ENSG00000159640";"protein_coding";17;63477061;63498380;0.030197;-0.077563567;9.238427479;0.181530842
"ACE2";"ENSG00000130234";"protein_coding";23;15561033;15602148;NA;-0.040278496;2.864283997;0.248275372
"ACER1";"ENSG00000167769";"protein_coding";19;6306142;6333629;0.014401;0;2.509975913;0.075452592
"ACER2";"ENSG00000177076";"protein_coding";9;19409059;19452020;0.004555;0;6.744122395;0.191512814
"ACER3";"ENSG00000078124";"protein_coding";11;76860867;77026797;0.0405615;-0.458387993;8.726707753;-2.33246031
"ACHE";"ENSG00000087085";"protein_coding";7;100889994;100896974;0.041593;-0.291953716;6.656639437;0.063806959
"ACIN1";"ENSG00000100813";"protein_coding";14;23058564;23095614;NA;-0.091061458;11.30135969;0.892667073
"ACKR1";"ENSG00000213088";"protein_coding";1;159203307;159206500;0.015638;NA;NA;0.162161065
"ACKR2";"ENSG00000144648";"protein_coding";3;42804752;42887974;0.00896302251699637;NA;NA;0.168974156
"ACKR3";"ENSG00000144476";"protein_coding";2;236567787;236582358;0.005549;NA;NA;0.452192785
"ACKR4";"ENSG00000129048";"protein_coding";3;132597237;132618967;0.050916;NA;NA;-0.398651432
"ACLY";"ENSG00000131473";"protein_coding";17;41866908;41930542;0.010513;-0.15897123;12.8182745;-3.471276477
"ACMSD";"ENSG00000153086";"protein_coding";2;134838547;134902034;0.00719768413990518;0;NA;-1.234443471
"ACO1";"ENSG00000122729";"protein_coding";9;32384603;32454769;0.006604;-0.013873189;10.20768047;1.812830536
"ACO2";"ENSG00000100412";"protein_coding";22;41469125;41528989;0.00256814258878254;-0.009377027;11.68309825;0.086385227
"ACOD1";"ENSG00000102794";"protein_coding";13;76948497;76958642;0.011598;NA;NA;NA
"ACOT1";"ENSG00000184227";"protein_coding";14;73537114;73543794;0.003395;0;8.761562745;-0.168630372
"ACOT11";"ENSG00000162390";"protein_coding";1;54542257;54639192;0.003058;0;5.605367261;-0.038642924
"ACOT12";"ENSG00000172497";"protein_coding";5;81330005;81394179;0.0124249271138392;-1.78532104;-0.132718048;-0.984101969
"ACOT13";"ENSG00000112304";"protein_coding";6;24667035;24705065;0.01591;0;9.549006492;-1.038369035
"ACOT2";"ENSG00000119673";"protein_coding";14;73567620;73575658;0.005755;0;8.099221728;-0.29447451
"ACOT4";"ENSG00000177465";"protein_coding";14;73591706;73596496;0.005755;0;5.466127898;-0.327113971
"ACOT6";"ENSG00000205669";"protein_coding";14;73610945;73619888;0.005755;0;0.278825362;NA
"ACOT7";"ENSG00000097021";"protein_coding";1;6264269;6394391;0.007265;0;8.537833221;1.629431619
"ACOT8";"ENSG00000101473";"protein_coding";20;45841721;45857406;0.039636;0;9.287122056;-1.577078596
"ACOT9";"ENSG00000123130";"protein_coding";23;23702253;23766475;0.045199;0;8.831179153;-0.949244292
"ACOX1";"ENSG00000161533";"protein_coding";17;75941507;75979363;0.046024;-1.189966683;11.23288547;1.21272393
"ACOX2";"ENSG00000168306";"protein_coding";3;58505136;58537319;0.009281;-0.178224919;6.571076264;-0.663649003
"ACOX3";"ENSG00000087008";"protein_coding";4;8366282;8440723;0.023766;-0.53254155;9.374496726;0.044318348
"ACOXL";"ENSG00000153093";"protein_coding";2;110732573;111118222;0.009813;0;5.710094573;-0.508373894
"ACP1";"ENSG00000143727";"protein_coding";2;264140;278283;NA;-1.181094845;10.7594774;0.085751451
"ACP2";"ENSG00000134575";"protein_coding";11;47239302;47248906;0;0;10.68372932;2.03108713
"ACP4";"ENSG00000142513";"protein_coding";19;50790415;50795224;0.011956;NA;NA;NA
"ACP5";"ENSG00000102575";"protein_coding";19;11574660;11579008;0.002957;-0.335856306;9.0188906;0.281112889
"ACP6";"ENSG00000162836";"protein_coding";1;147629652;147670496;NA;0;8.995194648;-1.128285999
"ACP7";"ENSG00000183760";"protein_coding";19;39083913;39111493;0.022711;NA;NA;NA
"ACPP";"ENSG00000014257";"protein_coding";3;132317367;132368298;0.050916;-0.429260998;16.06609962;0.502894862
"ACR";"ENSG00000100312";"protein_coding";22;50738196;50745334;NA;-0.576587649;1.61161412;-1.094616651
"ACRBP";"ENSG00000111644";"protein_coding";12;6638075;6647460;0.01262;0;4.487150152;-0.989251399
"ACRV1";"ENSG00000134940";"protein_coding";11;125671522;125681123;0.023663;0;2.014389893;0.350511356
"ACSBG1";"ENSG00000103740";"protein_coding";15;78167468;78245688;0.0054;-0.846062024;3.410033605;0.082028018
"ACSBG2";"ENSG00000130377";"protein_coding";19;6135247;6193094;0.0157735;0;0.00055505;0.313118575
"ACSF2";"ENSG00000167107";"protein_coding";17;50426158;50474845;0.036611;0;7.812665697;0.388735968
"ACSF3";"ENSG00000176715";"protein_coding";16;89088375;89155846;0.009042;-0.590242277;8.896533832;-0.129257041
"ACSL1";"ENSG00000151726";"protein_coding";4;184755595;184826818;0.033665;-1.092637175;12.3991762;-0.734948798
"ACSL3";"ENSG00000123983";"protein_coding";2;222860934;222944639;0.00501;0;12.57210271;1.717764143
"ACSL4";"ENSG00000068366";"protein_coding";23;109624244;109733403;0.008764;0;8.672127404;-0.305288312
"ACSL5";"ENSG00000197142";"protein_coding";10;112374018;112428380;0.008758;-0.002230786;9.845856084;0.269031535
"ACSL6";"ENSG00000164398";"protein_coding";5;131949973;132012243;0.021109;-0.797215642;2.842830508;-2.88107262
"ACSM1";"ENSG00000166743";"protein_coding";16;20623237;20698890;0.003392;0;9.387865968;0.147346552
"ACSM2A";"ENSG00000183747";"protein_coding";16;20451461;20487667;0.003392;-0.006189214;-0.138199235;0.199633068
"ACSM2B";"ENSG00000066813";"protein_coding";16;20536226;20576427;0.003392;-0.005356621;NA;0.128927438
"ACSM3";"ENSG00000005187";"protein_coding";16;20610243;20797581;0.00441901652464264;-0.808883113;9.873925881;-0.00207524
"ACSM4";"ENSG00000215009";"protein_coding";12;7304284;7328724;0.009304;0;NA;NA
"ACSM5";"ENSG00000183549";"protein_coding";16;20409534;20441336;0.004204;-0.020080674;2.160858854;1.300264233
"ACSM6";"ENSG00000173124";"protein_coding";10;95194200;95228928;0.0132215472462594;NA;NA;1.61556777
"ACSS1";"ENSG00000154930";"protein_coding";20;25006230;25058980;0.00594;-0.031295433;11.54555883;-0.116225023
"ACSS2";"ENSG00000131069";"protein_coding";20;34872146;34927962;0.016849;-0.224929019;9.603098585;-0.802683603
"ACSS3";"ENSG00000111058";"protein_coding";12;80936414;81261205;0.0322950983061172;0;6.31785908;0.298739783
"ACTA1";"ENSG00000143632";"protein_coding";1;229431245;229434098;0.00675;-3.9e-05;4.744048115;-0.221273387
"ACTA2";"ENSG00000107796";"protein_coding";10;88935074;88991339;0.006255;0;14.17110888;0.260792447
"ACTB";"ENSG00000075624";"protein_coding";7;5527151;5563784;0.017601;-0.324199733;15.97857701;4.298420603
"ACTBL2";"ENSG00000169067";"protein_coding";5;57480016;57482809;0.008756;-3.665611856;0.19328137;0.718774796
"ACTC1";"ENSG00000159251";"protein_coding";15;34788096;34796139;NA;-1.736285974;7.267636692;-0.440639089
"ACTG1";"ENSG00000184009";"protein_coding";17;81509971;81523847;NA;0;15.76652471;-1.191663594
"ACTG2";"ENSG00000163017";"protein_coding";2;73892314;73919865;0.009126;0;13.79864807;-0.166214101
"ACTL10";"ENSG00000182584";"protein_coding";20;33666498;33668525;0.015474;NA;NA;NA
"ACTL6A";"ENSG00000136518";"protein_coding";3;179562880;179588408;0.067731;-1.147037175;9.616332327;-1.907434312
"ACTL6B";"ENSG00000077080";"protein_coding";7;100643097;100656461;0.045599;-2.5e-05;-0.142631682;-0.108263212
"ACTL7A";"ENSG00000187003";"protein_coding";9;108862266;108863759;0.02473;0;NA;-0.43271689
"ACTL7B";"ENSG00000148156";"protein_coding";9;108854589;108856967;0.02473;-4.375046254;-0.898040168;0.334904623
"ACTL8";"ENSG00000117148";"protein_coding";1;17755313;17827063;0.003343;-1.767209306;0.055663368;-0.456483488
"ACTL9";"ENSG00000181786";"protein_coding";19;8697397;8698822;0.002957;0;NA;-0.362169704
"ACTN1";"ENSG00000072110";"protein_coding";14;68874143;68979440;0.004769;-0.323692605;12.38934632;0.393766565
"ACTN2";"ENSG00000077522";"protein_coding";1;236686454;236764631;0.020801;-1.39e-05;3.520200414;-0.753169856
"ACTN3";"ENSG00000248746";"protein_coding";11;66546395;66563329;0.087716;0;0.437641556;-0.124226444
"ACTN4";"ENSG00000130402";"protein_coding";19;38647649;38731583;0.0155326224865235;-0.010373519;12.89304158;0.340291719
"ACTR10";"ENSG00000131966";"protein_coding";14;58200080;58235636;0.007515;0;9.938175749;-0.190614475
"ACTR1A";"ENSG00000138107";"protein_coding";10;102461881;102502711;0.021568;-0.002239506;11.40983398;2.990069369
"ACTR1B";"ENSG00000115073";"protein_coding";2;97655963;97664107;0.017914;-0.612067964;10.79726537;0.248711093
"ACTR2";"ENSG00000138071";"protein_coding";2;65227753;65271253;0.003994;0;11.97046007;-0.578089249
"ACTR3";"ENSG00000115091";"protein_coding";2;113889960;113962596;0.000844;-0.117034953;11.41782766;1.827090495
"ACTR3B";"ENSG00000133627";"protein_coding";7;152759749;152855378;0.022542;-0.17858136;7.756430429;0.073986985
"ACTR3C";"ENSG00000106526";"protein_coding";7;150243916;150323725;0.02976;NA;5.786138105;NA
"ACTR5";"ENSG00000101442";"protein_coding";20;38748442;38772520;0.006028;-2.617948105;7.616348077;1.228964438
"ACTR6";"ENSG00000075089";"protein_coding";12;100199122;100241865;0.0546127816377171;-1.677906814;8.900119393;-0.607797497
"ACTR8";"ENSG00000113812";"protein_coding";3;53867066;53882202;0.00177;0;8.674973669;-1.155221477
"ACTRT1";"ENSG00000123165";"protein_coding";23;128050962;128052398;0.014363;-2.250216577;NA;0.649851661
"ACTRT2";"ENSG00000169717";"protein_coding";1;3021483;3022903;NA;0;NA;-0.117175687
"ACTRT3";"ENSG00000184378";"protein_coding";3;169766921;169769895;0.11239;NA;NA;-0.013363186
"ACVR1";"ENSG00000115170";"protein_coding";2;157736444;157875862;0.0155773898182195;0;9.242499638;-0.298277166
"ACVR1B";"ENSG00000135503";"protein_coding";12;51951667;51997078;0.029772;-0.087787605;10.35593392;-2.412474525
"ACVR1C";"ENSG00000123612";"protein_coding";2;157526767;157629005;0.01409;-0.094346504;3.386293038;-0.089408378
"ACVR2A";"ENSG00000121989";"protein_coding";2;147844517;147930826;0.002688;-0.84932625;8.806178693;1.75777125
"ACVR2B";"ENSG00000114739";"protein_coding";3;38453851;38493142;0;0;8.27673057;-0.332104957
"ACVRL1";"ENSG00000139567";"protein_coding";12;51906908;51923361;0.029772;-0.633535778;8.012076853;-0.052847428
"ACY1";"ENSG00000243989";"protein_coding";3;51983278;51989202;0.003363;-0.384598194;10.27716702;2.037424889
"ACY3";"ENSG00000132744";"protein_coding";11;67642555;67650659;0.099206;-0.119876701;2.754291844;-0.092854535
"ACYP1";"ENSG00000119640";"protein_coding";14;75053221;75069483;0.007792;0;6.085179874;-0.305011035
"ACYP2";"ENSG00000170634";"protein_coding";2;53970838;54305300;0.014354;0;7.703306172;0.691047098
"ADA";"ENSG00000196839";"protein_coding";20;44619522;44652233;0.039058;-0.759355148;5.274598558;0.515174271
"ADA2";"ENSG00000093072";"protein_coding";22;17178790;17221989;NA;NA;NA;NA
"ADAD1";"ENSG00000164113";"protein_coding";4;122378966;122429802;0.015082;0;NA;-0.12085951
"ADAD2";"ENSG00000140955";"protein_coding";16;84191138;84197168;0.001936;-0.205193497;1.575740094;0.706495387
